objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Arkham Horror: The Card Game – The Forgotten Age: Expansion","245815","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57825225","6.40284","8.34112","3.8696","0","7677","thing","Arkham Horror: The Card Game – The Forgotten Age: Expansion","1","4","120","120","60","2018","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Path to Carcosa: Expansion","225563","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57825215","6.97267","8.71339","3.52","0","11399","thing","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57831237","6.75972","6.90769","1.2806","727","37178","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bargain Quest","223740","7","","0","1","0","0","0","0","0","0","0","3","","","","","","68075535","6.35358","6.88979","2.0141","1470","6926","thing","Bargain Quest","2","6","60","60","30","2017","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at Baldur's Gate","228660","0","","0","1","0","0","0","0","0","0","0","1","","","","","","57828054","6.45262","7.10018","2.5645","1255","9160","thing","Betrayal at Baldur's Gate","3","6","60","60","60","2017","3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828049","6.82467","7.03571","2.3885","629","73816","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829171","7.01126","7.19908","1.6827","429","21394","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","10","","0","1","0","0","0","0","0","0","0","3","","","","","","52754135","7.77892","7.95038","2.8758","44","52110","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage: 5th Player Expansion","174506","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","58789767","7.00875","8.09294","2.6905","0","12384","thing","Blood Rage: 5th Player Expansion","5","5","90","90","60","2015","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Gods of Ásgard","174801","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824967","6.70171","7.67303","2.6286","0","12039","thing","Blood Rage: Gods of Ásgard","2","4","90","90","60","2015","3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Boom, Bang, Gold","235467","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147595","5.54117","6.17006","1.1667","12198","354","thing","Boom, Bang, Gold","2","4","20","20","20","2017","3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bottom of the 9th","166286","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57833079","6.15297","6.73716","1.7059","2091","5251","thing","Bottom of the 9th","1","2","20","20","5","2015","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","10","","0","1","0","0","0","0","0","0","0","3","","","","","","58789508","7.21517","7.59821","1.4593","259","16534","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","7","","0","1","0","0","0","0","0","0","0","3","","","","","","52754164","7.31629","7.52569","2.1855","192","27695","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57829548","7.29865","7.40971","1.8992","207","180858","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","8","","0","1","0","0","0","0","0","0","0","3","","","","","","89434323","7.45285","7.64087","1.8866","129","43793","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castellion","143404","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57882581","6.19351","6.90004","2.0909","1942","4646","thing","Castellion","1","2","30","30","30","2015","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828181","6.47074","6.64465","1.6531","1214","27129","thing","Castle Panic","1","6","60","60","60","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic: The Wizard's Tower","104590","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828204","6.72481","7.45864","2.0603","0","9533","thing","Castle Panic: The Wizard's Tower","1","6","90","90","90","2011","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"The Chameleon","227072","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57882626","6.16555","6.57786","1.0536","2048","8642","thing","The Chameleon","3","8","15","15","15","2017","4,5,6,7,8","6,7","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Chronicles of Crime","239188","8","","0","1","0","0","0","0","0","0","0","1","","","","","","57833963","7.25244","7.62659","2.0689","235","34185","thing","Chronicles of Crime","1","4","90","90","60","2018","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Claustrophobia","36932","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829457","7.01629","7.48168","2.4834","423","9428","thing","Claustrophobia","2","2","45","45","45","2009","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cockroach Poker","11971","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57829221","6.57603","6.7816","1.1077","1020","20270","thing","Cockroach Poker","2","6","20","20","20","2004","3,4,5,6","5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829432","7.28064","7.46645","1.3662","219","42163","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Codinca","131568","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57924166","5.67267","6.15747","1.3333","5863","1571","thing","Codinca","2","4","30","30","30","2012","3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express","158899","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57830338","6.95964","7.09376","1.8233","473","42662","thing","Colt Express","2","6","40","40","40","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Colt Express: Horses & Stagecoach","181158","6","","0","1","0","0","0","0","0","0","0","1","","","","","","58749128","6.55455","7.42745","2.1429","0","10517","thing","Colt Express: Horses & Stagecoach","2","6","60","60","30","2015","3,4,5,6","4,5,6","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Comanauts","256883","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","69662661","5.72683","6.44472","2.6","5001","2577","thing","Comanauts","2","4","120","120","90","2019","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Concept","147151","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57823712","6.62084","6.77252","1.382","959","30526","thing","Concept","4","12","40","40","40","2013","3,4,5,6,7,8,9,10,11,12","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","8","","0","1","0","0","0","0","0","0","0","3","","","","","","76233421","7.69962","7.85101","1.9698","59","70447","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cribbage","2398","9.5","","0","1","0","0","0","0","0","0","0","3","","","","","","79179482","6.78522","7.08605","1.9037","676","15171","thing","Cribbage","2","6","30","30","30","1630","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dead of Winter: The Long Night","193037","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","57824840","7.12721","7.54885","3.3571","316","20758","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Town","40793","10","","0","1","0","0","0","0","0","0","0","3","","","","","","52754168","6.57091","6.86261","1.6909","1035","9190","thing","Dice Town","2","5","45","45","45","2009","3,4,5","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Town: Wild West","94471","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754170","6.13887","7.3505","1.973","0","3012","thing","Dice Town: Wild West","2","6","60","60","60","2011","3,4,5,6","6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Dixit","39856","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824654","7.10458","7.21304","1.2022","346","87579","thing","Dixit","3","8","30","30","30","2008","4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Get Got!","262547","7","","0","1","0","0","0","0","0","0","0","1","","","","","","69220525","6.09638","7.01191","1.0435","2310","3763","thing","Don't Get Got!","2","10","1440","1440","30","2018","4,5,6,7,8,9,10","7","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Draftosaurus","264055","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","65133760","6.86502","7.11813","1.2549","586","18813","thing","Draftosaurus","2","5","15","15","15","2019","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dragonfire","226501","7","","0","1","0","0","0","0","0","0","0","1","","","","","","68075602","6.28389","7.1197","3.2299","1655","5483","thing","Dragonfire","2","6","90","90","60","2017","1,2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Drop It","244916","6","","0","1","0","0","0","0","0","0","0","3","","","","","","62701505","6.30207","6.90485","1.0952","1602","3879","thing","Drop It","2","4","30","30","30","2018","2,3,4","2,4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Duelosaur Island","247236","7","","0","1","0","0","0","0","0","0","0","1","","","","","","58749135","6.46689","7.07192","2.3492","1224","7794","thing","Duelosaur Island","1","2","45","45","30","2018","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Roll","138788","6","","0","1","0","0","0","0","0","0","0","1","","","","","","57833123","5.92993","6.09302","1.3305","3160","15276","thing","Dungeon Roll","1","4","30","30","15","2013","1,2,3","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Adventure Begins","315196","7","","0","1","0","0","0","0","0","0","0","3","","","","","","79179523","5.65234","6.38683","1.3704","6290","2474","thing","Dungeons & Dragons: Adventure Begins","2","4","0","0","0","2020","2,3,4","4","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Castle Ravenloft Board Game","59946","8","","0","1","0","0","0","0","0","0","0","1","","","","","","60304233","6.63022","6.97961","2.505","938","16598","thing","Dungeons & Dragons: Castle Ravenloft Board Game","1","5","60","60","60","2010","1,2,3,4,5","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: The Legend of Drizzt Board Game","91872","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","60304238","6.70481","7.21822","2.5878","806","13343","thing","Dungeons & Dragons: The Legend of Drizzt Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons: Wrath of Ashardalon Board Game","66356","0","","0","1","0","0","0","0","0","0","0","1","","","","","","60816943","6.62565","7.10299","2.6104","949","13562","thing","Dungeons & Dragons: Wrath of Ashardalon Board Game","1","5","60","60","60","2011","1,2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign","100423","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828154","6.79881","6.97204","2.346","663","40127","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elder Sign: Gates of Arkham","166679","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828156","6.78497","7.78788","2.5753","0","9764","thing","Elder Sign: Gates of Arkham","1","8","90","90","90","2015","1,2,3,4","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of Ice","189807","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828159","6.24326","7.63762","2.5714","0","5838","thing","Elder Sign: Omens of Ice","1","8","90","90","60","2016","1,2,3,4","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Elder Sign: Omens of the Deep","212572","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828163","6.11495","7.77304","2.8571","0","4682","thing","Elder Sign: Omens of the Deep","1","8","90","90","90","2017","1,2,3,4","1,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"En Garde","169","4","","0","1","0","0","0","0","0","0","0","1","","","","","","57832838","5.95222","6.4928","1.3968","3012","2192","thing","En Garde","2","2","30","30","20","1993","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ethnos","206718","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57824749","7.18519","7.46504","2.0282","276","15296","thing","Ethnos","2","6","60","60","45","2017","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Famiglia","81453","5","","0","1","0","0","0","0","0","0","0","1","","","","","","57833046","6.06492","6.43125","1.7606","2439","4696","thing","Famiglia","2","2","30","30","30","2010","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fast Forward: FEAR","231664","4","","0","1","0","0","0","0","0","0","0","3","","","","","","57829190","5.75634","6.10305","1.0833","4600","2321","thing","Fast Forward: FEAR","2","5","15","15","15","2017","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Felicity: The Cat in the Sack","32125","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829205","6.25474","6.56532","1.3962","1747","5812","thing","Felicity: The Cat in the Sack","3","5","20","20","20","2007","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Finger Guns at High Noon","276296","9","","0","1","0","0","0","0","0","0","0","3","","","","","","97147536","5.62217","6.47403","1.6667","7107","764","thing","Finger Guns at High Noon","3","8","20","20","20","2019","4,5,6,7,8","7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fireball Island: The Curse of Vul-Kar","233020","7","","0","1","0","0","0","0","0","0","0","3","","","","","","62701487","6.40846","6.79387","1.4742","1344","12842","thing","Fireball Island: The Curse of Vul-Kar","2","4","60","60","45","2018","2,3,4","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Firefly: Shiny Dice","163170","4.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832819","5.47726","5.43358","1.8636","22995","2106","thing","Firefly: Shiny Dice","1","5","30","30","30","2015","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flash Point: Fire Rescue","100901","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57829511","7.00635","7.16764","2.2002","435","37160","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Flick 'em Up!: Dead of Winter","207016","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824786","6.03142","6.65549","2.1111","2585","4973","thing","Flick 'em Up!: Dead of Winter","1","10","45","45","30","2017","1,2,3,4,5,6","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"For Sale","172","10","","0","1","0","0","0","0","0","0","0","3","","","","","","57828099","7.1212","7.24316","1.2557","326","35211","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Desert","136063","8.5","","0","1","0","0","0","0","0","0","0","3","","My favorite from Matt Leacock (yes, even more than Pandemic).","","","","40821611","6.9537","7.09131","2.0383","480","51446","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Island","65244","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828079","6.66934","6.76872","1.738","868","86403","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Forbidden Sky","245271","5","","0","1","0","0","0","0","0","0","0","3","","","","","","57823701","6.04933","6.41506","2.5818","2502","9996","thing","Forbidden Sky","2","5","60","60","60","2018","1,2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Friday","43570","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832748","6.94245","7.11617","2.1505","494","35305","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fuji Flush","203430","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57832937","6.14324","6.57352","1.0536","2144","4506","thing","Fuji Flush","3","8","20","20","10","2016","4,5,6,7,8","6,7,8","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fury of Dracula (Third/Fourth Edition)","181279","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57833954","7.1614","7.45031","3.2794","293","24244","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gate","305752","8","","0","1","0","0","0","0","0","0","0","3","","","","","","103842764","5.80938","7.33746","1.7368","4069","1262","thing","Gate","1","1","30","30","15","2020","1","1","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Get Bit!","30539","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829400","5.96899","6.13466","1.122","2903","11153","thing","Get Bit!","3","6","20","20","20","2007","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghostbusters: Protect the Barrier Game","201037","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829503","5.63328","6.60195","1.8","6767","586","thing","Ghostbusters: Protect the Barrier Game","2","4","30","30","30","2016","1,2,3,4","4","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Godfather: Corleone's Empire","195539","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","58746553","7.05178","7.52921","2.6257","387","10747","thing","The Godfather: Corleone's Empire","2","5","90","90","60","2017","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Good Cop Bad Cop","153064","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57831251","6.16163","6.58547","1.2621","2062","4957","thing","Good Cop Bad Cop","4","8","20","20","10","2014","4,5,6,7,8","6,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled","171668","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832798","6.91644","7.14625","1.9772","524","22745","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled: At Your Orders!","194562","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57832800","6.61973","7.6339","2.2632","0","8047","thing","The Grizzled: At Your Orders!","1","5","30","30","30","2016","1,2,3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Groundhog Day: The Game","318359","6","","0","1","0","0","0","0","0","0","0","3","","","","","","79179391","5.73913","7.17637","1.125","4824","731","thing","Groundhog Day: The Game","2","6","25","25","15","2021","2,3,4,6","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Guillotine","116","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57832853","6.39812","6.53637","1.2667","1372","31128","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hammer Time","321756","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147551","5.61822","6.66742","1","7239","478","thing","Hammer Time","2","4","30","30","15","2020","2,3,4","3,4","4–6","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","1.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57833109","6.94972","7.05049","1.6929","486","76506","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Happy Salmon","194626","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57833512","6.34986","6.70834","1.0808","1481","10654","thing","Happy Salmon","3","6","2","2","2","2016","4,5,6","5,6","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
